gene_id,gene_short_name,cell_group,marker_score,mean_expression,fraction_expressing,specificity,pseudo_R2,marker_test_p_value,marker_test_q_value
ENSG00000065978,YBX1,Naive/Mem T not ref-like,0.2609045506331387,2.8056790374105036,0.905898282135906,0.28800645257653434,0.028995618537589286,9.774297937790684e-35,1.305494329763075e-29
ENSG00000177606,JUN,Naive/Mem T not ref-like,0.25478809967475124,3.411012457854922,0.8071422526868072,0.31566690856118007,0.020278990170724164,8.899118552471376e-25,1.1886018703422868e-19
ENSG00000117091,CD48,Naive/Mem T not ref-like,0.25638011734566085,1.156987591247653,0.7320809003977321,0.3502073571464194,0.049525272682010554,3.4851961054163446e-58,4.654967326238287e-53
ENSG00000152518,ZFP36L2,Naive/Mem T not ref-like,0.3176749920688344,8.111113392427438,0.964034865024964,0.32952645551943616,0.051426122062995266,2.342569886974922e-60,3.128830043839185e-55
ENSG00000114942,EEF1B2,Naive/Mem T not ref-like,0.36527519046515544,8.396408574128726,0.9809596344249809,0.3723651592241841,0.14590436616211316,4.9525347342600237e-169,6.614803492467058e-164
ENSG00000269893,SNHG8,Naive/Mem T not ref-like,0.25688368011473933,1.3006696615177467,0.7728695946517729,0.33237648613991844,0.05202954407028433,4.7856790870702053e-61,6.391944415854449e-56
ENSG00000168685,IL7R,Naive/Mem T not ref-like,0.2537001235620007,1.4627170644000618,0.7557755775577558,0.3356818228789791,0.09936395201890996,2.6018943746605803e-115,3.4751942025716575e-110
ENSG00000145741,BTF3,Naive/Mem T not ref-like,0.31618814395154876,4.837378846750341,0.9637809934839637,0.32807053271362296,0.08284287510020025,2.479701841350708e-96,3.3119889673816596e-91
ENSG00000127184,COX7C,Naive/Mem T not ref-like,0.28783012319722673,2.3491502717754527,0.9056444105949056,0.31781803081869076,0.0601677045653443,2.3623653360944298e-70,3.1552696375011644e-65
ENSG00000169567,HINT1,Naive/Mem T not ref-like,0.3142483648447784,3.251009351204573,0.9306930693069307,0.33764983882258104,0.06443991334363483,3.0505120923959284e-75,4.0743859710876975e-70
ENSG00000181163,NPM1,Naive/Mem T not ref-like,0.30003466997891204,3.0166763296556263,0.9299314546839299,0.32264170489951804,0.06088286739342086,3.5901174583773464e-71,4.795104482107119e-66
ENSG00000204628,RACK1,Naive/Mem T not ref-like,0.34425094506934073,9.191860649624244,0.9871371752559871,0.34873668391636514,0.11421907293420712,2.0435095300099536e-132,2.7293930686624945e-127
ENSG00000227507,LTB,Naive/Mem T not ref-like,0.42762605592967734,4.19155394063462,0.9354320047389354,0.45714285353003414,0.30177036018115777,0,0
ENSG00000096384,HSP90AB1,Naive/Mem T not ref-like,0.25359865425137523,2.236443542689496,0.8537699923838538,0.29703392777168214,0.027910480324678442,1.695719004931811e-33,2.2648701317471238e-28
ENSG00000156508,EEF1A1,Naive/Mem T not ref-like,0.35515571319129857,69.28519271264264,0.9988998899889989,0.35554685384459295,0.17935974890018047,6.791952424203028e-208,9.071603335862532e-203
ENSG00000196683,TOMM7,Naive/Mem T not ref-like,0.2966851443728382,3.121399992030795,0.9411018024879411,0.31525297644580785,0.07064638069453301,2.3843199000003224e-82,3.1845930312364307e-77
ENSG00000169100,SLC25A6,Naive/Mem T not ref-like,0.283819381601904,2.360166436252343,0.8793263941778793,0.3227690917514868,0.04751624484122611,6.886556661322496e-56,9.197960539128778e-51
ENSG00000133872,SARAF,Naive/Mem T not ref-like,0.3228431296429705,6.397421545662506,0.9822289921299823,0.32868417877065415,0.07865138074626497,1.5938192782579272e-91,2.1287687808124178e-86
ENSG00000104660,LEPROTL1,Naive/Mem T not ref-like,0.2820197449074961,2.0973104228441937,0.8682406702208683,0.3248174781259143,0.06015083211266118,2.4697358790244224e-70,3.2986780294601795e-65
ENSG00000156467,UQCRB,Naive/Mem T not ref-like,0.26460319799747983,2.097942679547868,0.8848269442328849,0.29904514065954657,0.03383375067907738,2.9201130913245523e-40,3.900219849296725e-35
ENSG00000070756,PABPC1,Naive/Mem T not ref-like,0.32408328571167233,5.695518234694695,0.9778285520859779,0.3314316042626423,0.09552839139230458,6.692178534607694e-111,8.938341337963421e-106
ENSG00000104408,EIF3E,Naive/Mem T not ref-like,0.30203838537115824,1.5212794586434744,0.8058728949818059,0.37479655569998704,0.09552242048776798,6.798782650483874e-111,9.08072605929228e-106
ENSG00000147677,EIF3H,Naive/Mem T not ref-like,0.27467884279459326,1.4816561162791106,0.8128120504358128,0.33793647946941263,0.06260874117696331,3.803707606886447e-73,5.080384028061814e-68
ENSG00000104529,EEF1D,Naive/Mem T not ref-like,0.28775744464296993,6.040027786104337,0.9818904967419819,0.29306470079686076,0.04823082478740091,1.0506934369407132e-56,1.4033481821154942e-51
ENSG00000175390,EIF3F,Naive/Mem T not ref-like,0.25737389952608297,1.9162554526288171,0.8607937716848608,0.29899600577071594,0.03376374175663434,3.5102682398849125e-40,4.688454671919885e-35
ENSG00000167996,FTH1,Naive/Mem T not ref-like,0.3502306196718909,16.525469040554828,0.9874756706439874,0.3546726568397236,0.05834124272517811,2.902372704152052e-68,3.8765250785736467e-63
ENSG00000254772,EEF1G,Naive/Mem T not ref-like,0.35450189280328176,4.568115477055905,0.9471947194719472,0.3742650645275065,0.11940585121679147,2.1327526709494152e-138,2.848589777426877e-133
ENSG00000149806,FAU,Naive/Mem T not ref-like,0.3126038982327881,15.697137101795228,0.9954303122619954,0.3140389582093732,0.100803947948376,5.7395727855609666e-117,7.66600299530665e-112
ENSG00000167283,ATP5MG,Naive/Mem T not ref-like,0.2641457565311445,2.24458872659341,0.8921045950748921,0.29609281018104106,0.03092924600733579,6.053186123957375e-37,8.084877514602429e-32
ENSG00000026025,VIM,Naive/Mem T not ref-like,0.33840400151882527,6.111170529848729,0.9590420580519591,0.3528562680621158,0.10760065742718443,8.627563181603115e-125,1.1523318487876384e-119
ENSG00000111678,C12orf57,Naive/Mem T not ref-like,0.2736631585400008,1.6389814625111816,0.8212744351358213,0.33321767588533635,0.05067421389943146,1.6947877072468525e-59,2.263626253307186e-54
ENSG00000111716,LDHB,Naive/Mem T not ref-like,0.33757846133886626,2.1600129275683906,0.8776339172378776,0.38464609754521095,0.10987575338281672,2.067605082626155e-127,2.7615760525587977e-122
ENSG00000123349,PFDN5,Naive/Mem T not ref-like,0.29783497937330894,4.623230808209657,0.9684353050689685,0.3075424634091569,0.06685705077064126,5.213988191440839e-78,6.964011188016042e-73
ENSG00000135486,HNRNPA1,Naive/Mem T not ref-like,0.2866672656228563,4.486162510128923,0.95997292036896,0.29862015848600965,0.04360157056624569,2.0433955557175942e-51,2.7292408400386476e-46
ENSG00000196531,NACA,Naive/Mem T not ref-like,0.3180689779834763,9.764024377755685,0.9908606245239908,0.3210027425767136,0.09949641110005583,1.8320543779459416e-115,2.4469651093597174e-110
