gene_id,gene_short_name,cell_group,marker_score,mean_expression,fraction_expressing,specificity,pseudo_R2,marker_test_p_value,marker_test_q_value
ENSG00000142669,SH3BGRL3,1_minus7,0.4037081658753639,11.064126223357489,0.9351285189718482,0.43171409884839307,0.0099352522443125,2.6296787096165216e-5,1
ENSG00000197747,S100A10,1_minus7,0.4060389521331427,6.696687223410928,0.8843329253365974,0.45914716109727005,0.001678034111756233,0.08436185119720742,1
ENSG00000163191,S100A11,1_minus7,0.39093271298502974,5.668580367028253,0.8929008567931457,0.437823202890705,0.013938803455220965,6.3282005093637e-7,0.04226098864163266
ENSG00000143546,S100A8,1_minus7,0.3858024148702308,75.64936752696089,0.9112607099143207,0.42337215977028686,0.016354642812090352,6.786264638232954e-8,0.004532003250704731
ENSG00000197956,S100A6,1_minus7,0.4129341028372044,22.38150679614291,0.9498164014687882,0.43475149744587116,0.010688520809542228,1.2996603453082005e-5,0.8679391718037224
ENSG00000196154,S100A4,1_minus7,0.40546633109999264,16.43246512615907,0.9394124847001224,0.4316169283500899,0.008606099324055079,9.170529510994037e-5,1
ENSG00000163041,H3F3A,1_minus7,0.4044208215471224,5.702830049056086,0.905140758873929,0.44680434239891686,0.004226339632467612,0.006147278826879967,1
ENSG00000034510,TMSB10,1_minus7,0.4081762665698013,24.152545144683575,0.9571603427172583,0.42644502530374384,0.008760060200870773,7.931846717605022e-5,1
ENSG00000187514,PTMA,1_minus7,0.41347995804552773,9.087403143893175,0.9375764993880049,0.4410093025106999,0.005367520366162887,0.0020149369349206493,1
ENSG00000232112,TMA7,1_minus7,0.3820321476465696,3.1495545648085344,0.8445532435740514,0.45234820960470634,0.004054437493078188,0.007286202372550293,1
ENSG00000234745,HLA-B,1_minus7,0.3919888331489428,9.895960246655829,0.934516523867809,0.4194562890408464,0.015341037767135739,1.7297879823943984e-7,0.01155187010402627
ENSG00000156508,EEF1A1,1_minus7,0.40478627922250277,18.75354047992573,0.9424724602203183,0.4294940131490711,0.009325897902673946,4.6578810530171355e-5,1
ENSG00000075624,ACTB,1_minus7,0.4005358864503484,31.824407847922906,0.9528763769889841,0.4203440195631787,0.020267513476259408,1.8518315179930631e-9,1.2366901243461274e-4
ENSG00000205542,TMSB4X,1_minus7,0.40214875687953594,12.691275075836105,0.9424724602203183,0.42669549918257255,0.011352195609890207,6.995892151196561e-6,0.46719966964120874
ENSG00000130066,SAT1,1_minus7,0.4048834534152249,6.20309333557547,0.8959608323133414,0.45189860852491637,0.0029735099239929985,0.02157212007999225,1
ENSG00000167996,FTH1,1_minus7,0.457770077805618,43.987026012529135,0.9749082007343941,0.46955198187971114,1.3079653860944944e-4,0.6299646371020576,1
ENSG00000149806,FAU,1_minus7,0.41158475756102814,12.464714692439543,0.9363525091799265,0.4395617606893595,0.007979497141483239,1.6574690865457564e-4,1
ENSG00000245532,NEAT1,1_minus7,0.4622655181902519,9.189800748001124,0.9388004895960832,0.49240016735519665,0.0011843737672659449,0.14708326461125765,1
ENSG00000251562,MALAT1,1_minus7,0.47543593264309103,66.42221713962344,0.9902080783353733,0.4801374004566198,0.0051000870461798,0.0026122840272523487,1
ENSG00000026025,VIM,1_minus7,0.4169736480660799,11.204326678385172,0.923500611995104,0.4515142087077366,0.0055738252283712075,0.0016502392176844765,1
ENSG00000122862,SRGN,1_minus7,0.42960131269988744,4.684638375630026,0.8751529987760098,0.4908870943717595,0.0015144918197952302,0.10108201207407688,1
ENSG00000111640,GAPDH,1_minus7,0.39608401231274404,12.919297965463153,0.9326805385556916,0.4246727533589395,0.019049947350372985,5.670497063298545e-9,3.7868713488120343e-4
ENSG00000123349,PFDN5,1_minus7,0.38499481306925937,5.593814842507119,0.894124847001224,0.4305828367934085,0.008933512161088505,6.736543663224798e-5,1
ENSG00000092841,MYL6,1_minus7,0.38178925634167116,5.379136869557862,0.8984088127294981,0.4249616109416149,0.018793971038654732,7.17574081063108e-9,4.792103228155648e-4
ENSG00000196531,NACA,1_minus7,0.3825390586261692,5.915049543125808,0.879436964504284,0.43498178273845545,0.009504612590827775,3.938225960503566e-5,1
ENSG00000090382,LYZ,1_minus7,0.38399492361793164,15.117830088520837,0.9265605875152999,0.4144304525704757,0.027985938136599265,1.5654996368155088e-12,1.045471967458133e-7
ENSG00000133112,TPT1,1_minus7,0.4114097464873384,12.63781700233489,0.9369645042839657,0.43908786790353427,0.003433050207483016,0.013544472864686935,1
ENSG00000100644,HIF1A,1_minus7,0.39696710145451747,2.5362672608905075,0.799265605875153,0.4966648114675969,0.009786604770608191,3.0228024686939924e-5,1
ENSG00000140264,SERF2,1_minus7,0.39984349538376257,7.3149207067110416,0.9210526315789473,0.43411579498808506,0.0110370539002166,9.386326978777016e-6,0.6268376882966867
ENSG00000166710,B2M,1_minus7,0.40552188605004663,12.945327561750785,0.9485924112607099,0.42749855600372655,0.01921562952044335,4.869171346623197e-9,3.251730008701903e-4
ENSG00000103187,COTL1,1_minus7,0.38811522486090017,5.750750169960469,0.8990208078335373,0.4317088341883668,0.006422972766299686,7.290874474598735e-4,1
ENSG00000173812,EIF1,1_minus7,0.41127210971229705,7.671005879103951,0.9277845777233782,0.44328405492737033,0.005545998854403627,0.0016952349281269704,1
ENSG00000132475,H3F3B,1_minus7,0.3936619375432082,6.071993096851141,0.9026927784577723,0.43609735996312016,0.00603793297451058,0.0010549888254118716,1
ENSG00000101439,CST3,1_minus7,0.39224806501107373,8.984133094119857,0.9149326805385557,0.42871795199203644,0.012335089141379629,2.8021123249272106e-6,0.18713066528328898
ENSG00000124172,ATP5F1E,1_minus7,0.4158588924511328,8.457467719305766,0.9296205630354957,0.44734261373610995,0.0012998991466639403,0.12876292499394776,1
ENSG00000104904,OAZ1,1_minus7,0.383786023059799,5.609629368450869,0.8898408812729498,0.43129736016486353,0.010707993296480868,1.2762302937843555e-5,0.8522921147950683
ENSG00000011600,TYROBP,1_minus7,0.3848269166772381,10.106263934266902,0.9186046511627907,0.41892550423091746,0.01843877858881199,9.949118667462248e-9,6.644220428504639e-4
ENSG00000087086,FTL,1_minus7,0.399771749481284,48.711504282198256,0.9620563035495716,0.41553882865929903,0.026531418010063118,5.929675648211565e-12,3.959955991388648e-7
ENSG00000198888,MT-ND1,1_minus7,0.4919950635962338,15.8727208932283,0.988984088127295,0.49747520663134037,0.016288583057248708,7.212675006154973e-8,0.004816768622610414
ENSG00000198763,MT-ND2,1_minus7,0.49895669610229154,12.477398524574502,0.9620563035495716,0.518635649765359,0.014243735111099977,4.771594974330726e-7,0.03186566555757545
ENSG00000198804,MT-CO1,1_minus7,0.5181921680006071,57.16929542795166,0.9969400244798041,0.5197826903087734,0.020617882388810755,1.3422474220544193e-9,8.963796733963824e-5
ENSG00000198712,MT-CO2,1_minus7,0.5383798211946665,43.823315160089244,0.9969400244798041,0.5400323068336925,0.042102497389791244,3.843926813106053e-18,2.5670512043284845e-13
ENSG00000228253,MT-ATP8,1_minus7,0.4678449657559503,8.756022994253364,0.7350061199510404,0.636518462985198,0.01958409229799496,3.4701056322056927e-9,2.3174059432996057e-4
ENSG00000198899,MT-ATP6,1_minus7,0.4665703410373063,11.836902105117662,0.9620563035495716,0.48497197026396854,0.0017948917656817973,0.07425691467540513,1
ENSG00000198938,MT-CO3,1_minus7,0.5237859106810071,34.6928708216368,0.9877600979192166,0.5302764424118747,0.01372968563494013,7.680901934385083e-7,0.05129459929821046
ENSG00000198840,MT-ND3,1_minus7,0.5092428454498327,15.855239614874813,0.9589963280293757,0.531016470622225,0.007700483814897382,2.1588559993261866e-4,1
ENSG00000212907,MT-ND4L,1_minus7,0.46715839128886,9.492413615476144,0.8396572827417381,0.556367938313409,0.0041946565362814955,0.006342622405664814,1
